ID,DATE,DATA
236,Sat May 25 01:01:50 JST 2019,21",117.22
237,Sat May 25 01:00:50 JST 2019,21",117.22
238,Sat May 25 00:59:47 JST 2019,21",117.22
239,Sat May 25 00:58:42 JST 2019,21",117.22
240,Sat May 25 00:57:40 JST 2019,21",117.22
241,Sat May 25 00:56:40 JST 2019,21",117.22
242,Sat May 25 00:55:38 JST 2019,21",117.22
243,Sat May 25 00:54:38 JST 2019,21",117.22
244,Sat May 25 00:53:37 JST 2019,21",117.22
245,Sat May 25 00:52:37 JST 2019,21",117.22
246,Sat May 25 00:51:36 JST 2019,21",117.22
247,Sat May 25 00:50:31 JST 2019,21",117.22
248,Sat May 25 00:49:26 JST 2019,21",117.22
249,Sat May 25 00:48:25 JST 2019,21",117.22
250,Sat May 25 00:47:24 JST 2019,21",117.22
251,Sat May 25 00:46:24 JST 2019,21",117.22
252,Sat May 25 00:45:23 JST 2019,21",117.22
253,Sat May 25 00:44:20 JST 2019,21",117.22
254,Sat May 25 00:43:19 JST 2019,21",117.22
255,Sat May 25 00:42:15 JST 2019,21",117.22
256,Sat May 25 00:41:12 JST 2019,21",117.22
257,Sat May 25 00:40:11 JST 2019,21",117.22
258,Sat May 25 00:39:05 JST 2019,21",117.22
259,Sat May 25 00:38:05 JST 2019,21",117.22
260,Sat May 25 00:37:04 JST 2019,21",117.22
261,Sat May 25 00:35:59 JST 2019,21",117.22
262,Sat May 25 00:34:59 JST 2019,21",117.22
263,Sat May 25 00:33:58 JST 2019,21",117.22
264,Sat May 25 00:32:52 JST 2019,21",117.22
265,Sat May 25 00:31:50 JST 2019,21",117.22
266,Sat May 25 00:30:44 JST 2019,21",117.22
267,Sat May 25 00:29:43 JST 2019,21",117.22
268,Sat May 25 00:28:38 JST 2019,21",117.22
269,Sat May 25 00:27:36 JST 2019,21",117.22
270,Sat May 25 00:26:31 JST 2019,21",117.22
271,Sat May 25 00:25:28 JST 2019,21",117.22
272,Sat May 25 00:24:27 JST 2019,21",117.22
273,Sat May 25 00:23:22 JST 2019,21",117.22
274,Sat May 25 00:22:17 JST 2019,21",117.22
275,Sat May 25 00:21:11 JST 2019,21",117.22
276,Sat May 25 00:20:10 JST 2019,21",117.22
277,Sat May 25 00:19:05 JST 2019,21",117.22
278,Sat May 25 00:18:02 JST 2019,21",117.22
279,Sat May 25 00:16:57 JST 2019,21",117.22
280,Sat May 25 00:15:57 JST 2019,21",117.22
281,Sat May 25 00:14:50 JST 2019,21",117.22
282,Sat May 25 00:13:50 JST 2019,21",117.22
283,Sat May 25 00:12:46 JST 2019,21",117.22
284,Sat May 25 00:11:44 JST 2019,21",117.22
285,Sat May 25 00:10:43 JST 2019,21",117.22
286,Sat May 25 00:09:42 JST 2019,21",117.22
287,Sat May 25 00:08:41 JST 2019,21",117.22
288,Sat May 25 00:07:36 JST 2019,21",117.22
289,Sat May 25 00:06:35 JST 2019,21",117.22
290,Sat May 25 00:05:34 JST 2019,21",117.22
291,Sat May 25 00:04:32 JST 2019,21",117.22
292,Sat May 25 00:03:31 JST 2019,21",117.22
293,Sat May 25 00:02:29 JST 2019,21",117.22
294,Sat May 25 00:01:24 JST 2019,21",117.22
295,Sat May 25 00:00:23 JST 2019,21",117.22
296,Fri May 24 23:59:22 JST 2019,21",117.22
297,Mon May 20 11:48:43 JST 2019,21",307.84
298,Mon May 20 11:47:42 JST 2019,21",307.84
